"First Viewed (UTC)","Content Viewed",Action,"Times Viewed","Card Type",Publisher,"Timestamp (UTC)"
2021-01-06T04:58:57.204Z,true,View,1,aem_wake_me_up_to_disney,AlexaEngagementMarketing,2021-01-06T04:59:09.773Z
2020-12-01T14:13:21.791Z,true,View,4,ReviewNextReminder,AlexaHHOReminders,2020-12-01T19:51:40.181Z
2020-11-30T04:32:41.386Z,true,View,1,HHO_alarm_active,"AlexaMobileHomeAlarmsPublisher",2020-11-30T04:34:56.940Z
2020-11-29T04:36:35.693Z,true,View,3,"create_recommended_routine","AlexaMobileHomeRoutinesRecommendationPublisher",2020-11-29T04:41:19.093Z
2020-11-30T04:32:41.386Z,true,View,7,"create_recommended_routine","AlexaMobileHomeRoutinesRecommendationPublisher",2020-12-01T19:51:40.029Z
2020-11-30T04:32:41.386Z,true,ToggleAction,1,"create_recommended_routine","AlexaMobileHomeRoutinesRecommendationPublisher",2020-12-01T19:51:40.029Z
2020-12-05T04:09:52.313Z,true,View,2,AccountLinking,"AlexaMultiModalAmazonMusic",2020-12-09T15:53:57.174Z
2020-11-29T04:36:35.693Z,true,View,8,AddPhoneNumberSetup,COMMS,2020-11-29T04:57:29.162Z
2020-11-30T04:32:41.386Z,true,View,1,AddPhoneNumberSetup,COMMS,2020-11-30T04:34:56.414Z
2020-12-01T14:13:21.791Z,true,View,4,AddPhoneNumberSetup,COMMS,2020-12-01T19:51:40.037Z
2020-12-02T16:23:29.624Z,true,View,1,AddPhoneNumberSetup,COMMS,2020-12-02T16:23:32.773Z
2020-12-05T04:09:52.313Z,true,View,1,AddPhoneNumberSetup,COMMS,2020-12-05T04:10:19.635Z
2020-12-09T15:53:39.974Z,true,View,1,AddPhoneNumberSetup,COMMS,2020-12-09T15:53:56.126Z
2020-12-17T11:00:13.412Z,true,View,1,AddPhoneNumberSetup,COMMS,2020-12-17T11:00:23.321Z
2021-01-06T04:58:57.204Z,true,View,1,AddPhoneNumberSetup,COMMS,2021-01-06T04:59:08.134Z
2020-11-30T04:32:41.386Z,true,View,3,DEVICE_SETUP,Catapult,2020-12-05T04:10:20.426Z
2020-11-17T16:44:42.787Z,true,View,17,MobileListHintImage,ColdStartListPublisher,2020-11-29T04:57:29.066Z
2020-11-17T16:56:39.811Z,true,View,3,MobileRoutineHintImage,"ColdStartRoutinePublisher",2020-11-29T16:39:45.103Z
2020-11-17T16:56:39.811Z,true,NavigateAction,1,MobileRoutineHintImage,"ColdStartRoutinePublisher",2020-11-29T16:39:45.103Z
2020-11-29T04:53:18.423Z,true,View,3,"comms_announcement_home_card_holiday_tell_happy_holidays",Comms,2020-11-29T04:57:29.666Z
2020-11-29T04:53:18.423Z,true,NavigateAction,1,"comms_announcement_home_card_holiday_tell_happy_holidays",Comms,2020-11-29T04:57:29.666Z
2020-11-17T16:45:49.676Z,true,View,1,StaticHomeCards,CommunicationsPublisher,2020-11-17T16:45:57.318Z
2020-11-29T04:49:01.153Z,true,NavigateAction,1,DeviceSetup,DeviceSetup,2020-11-29T04:50:53.244Z
2020-11-29T04:49:01.153Z,true,View,2,DeviceSetup,DeviceSetup,2020-11-29T04:50:53.244Z
2020-12-02T16:23:29.624Z,true,View,2,enable_wake_word,Education,2020-12-09T15:53:57.207Z
2021-03-15T18:16:23.312Z,true,View,1,"list_activity_standby_card",Education,2021-03-15T18:17:06.907Z
2021-03-15T18:16:23.312Z,true,View,1,"listen_music_activity_standby_card",Education,2021-03-15T18:17:06.870Z
2021-03-15T18:16:23.312Z,true,View,1,"reminder_activity_standby_card",Education,2021-03-15T18:17:07.004Z
2020-11-29T04:56:56.915Z,true,View,2,"vox_scrim_timersandalarms",Education,2020-11-29T16:39:45.851Z
2020-11-29T04:40:24.075Z,true,View,5,type_with_alexa_launch,Education,2020-12-01T14:15:07.420Z
2020-12-01T14:14:46.191Z,true,View,2,"AlexaAppJasperWhatsNewiOS",Education,2020-12-01T14:15:07.550Z
2020-11-29T04:40:24.075Z,true,View,4,StaticHomeCards,EducationPublisher,2020-12-01T14:15:06.651Z
2020-11-29T04:56:33.632Z,true,View,1,LinkAccount,EducationPublisher,2020-11-29T04:57:29.686Z
2020-11-29T04:56:56.915Z,true,View,2,TrendingNews,EducationPublisher,2020-11-29T16:39:45.903Z
2020-11-29T04:57:28.754Z,true,View,1,StaticHomeCards,EducationPublisher,2020-11-29T04:58:30.005Z
2020-11-29T04:57:24.362Z,true,View,1,StaticHomeCards,EducationPublisher,2020-11-29T04:57:29.602Z
2020-11-29T04:49:11.023Z,true,View,1,StaticHomeCards,EducationPublisher,2020-11-29T04:58:29.949Z
2020-11-29T04:49:11.023Z,true,NavigateAction,2,StaticHomeCards,EducationPublisher,2020-11-29T04:58:29.949Z
2020-11-17T17:02:52.220Z,true,View,3,StaticHomeCards,EducationPublisher,2020-11-29T04:58:30.242Z
2020-11-17T17:02:52.220Z,true,OpenUrlAction,1,StaticHomeCards,EducationPublisher,2020-11-29T04:58:30.242Z
2020-12-01T14:13:21.791Z,true,View,2,ContinueListeningSingle,Entertainment,2020-12-01T14:15:07.451Z
2020-12-09T15:53:39.974Z,true,View,1,ContinueListeningSingle,Entertainment,2020-12-09T15:53:57.177Z
2020-12-17T11:00:13.412Z,true,View,1,ContinueListeningSingle,Entertainment,2020-12-17T11:00:22.848Z
2020-12-01T19:16:30.809Z,true,View,3,ContinueListeningSingle,Entertainment,2020-12-02T16:23:33.756Z
2020-12-05T04:09:52.313Z,true,View,1,ContinueListeningSingle,Entertainment,2020-12-05T04:10:19.563Z
2020-11-17T16:44:20.178Z,true,View,10,MobileHintImage,EntertainmentPublisher,2020-11-17T20:05:22.107Z
2020-11-17T16:44:20.178Z,true,NavigateAction,1,MobileHintImage,EntertainmentPublisher,2020-11-17T20:05:22.107Z
2020-12-01T14:14:59.336Z,true,View,1,ThingsToTry,FeatureAwareness,2020-12-01T14:15:06.565Z
2020-11-29T16:32:54.742Z,true,NavigateAction,1,ThingsToTry,FeatureAwareness,2020-11-29T16:34:03.228Z
2020-11-29T16:32:54.742Z,true,View,1,ThingsToTry,FeatureAwareness,2020-11-29T16:34:03.228Z
2020-12-01T14:13:21.791Z,true,View,6,link_your_calendar_card,HHOCalendar,2020-12-05T04:10:20.624Z
